Policy,krippendorff_alpha,alpha_ci_lower,alpha_ci_upper,num_disagreements,num_transcripts
Paris Agreement,0.9582909007941145,0.935823193148418,0.9778170759680057,15,306
Green New Deal,0.9834271246779953,0.9656444811147782,0.9960919881847168,4,153
Executive action,0.9670645160502809,0.944896593808127,0.9859615466341589,9,575
Emergency declaration,0.9431162720097146,0.8451798145049679,1.0,2,19
(De)regulation and laws,0.9868715679090556,0.9696974947657209,1.0,3,142
Renewable energy,0.9086087062553347,0.8762356543995676,0.9377042157702147,32,294
Emission reduction,0.9182683901292596,0.8883218476438816,0.9462357878124887,29,302
Oil and gas industry,0.9183604557436333,0.8884694883050752,0.9453494137548853,30,336
Other climate policy,0.810351715963723,0.7487462454408925,0.8656896000000001,38,138
TOTAL,0.9451763331937445,0.9365733537766543,0.9534422144801051,162,750
